hotel_name,month,occupancy_rate,ADR,rooms_available,rooms_sold,revenue_rooms,revenue_FnB,total_revenue,operating_costs,GOP,RevPAR,RevPAR_mom_change_%,ADR_mom_change_%,occupancy_rate_mom_change_%
Hotel Sierra,2024-11-01,0.9,107.18,100,2701,289491.74,90516.8,380008.54,200718.45,179290.09,2894.92,-20.61,-24.25,4.8
Hotel Sierra,2024-12-01,0.76,73.95,100,2280,168614.32,57274.81,225889.14,149717.83,76171.31,1686.14,-41.76,-31.0,-15.58
Hotel Sol,2023-01-01,0.67,174.58,100,2005,350030.04,146871.97,496902.01,337693.39,159208.62,3500.3,,,
Hotel Sol,2023-02-01,0.57,87.16,100,1710,149042.57,32405.59,181448.16,137873.9,43574.26,1490.43,-57.42,-50.07,-14.71
Hotel Sol,2023-03-01,0.77,147.89,100,2311,341769.13,70464.37,412233.5,326065.55,86167.95,3417.69,129.31,69.68,35.13
Hotel Sol,2023-04-01,0.87,93.36,100,2623,244876.2,62332.62,307208.83,170507.46,136701.37,2448.76,-28.35,-36.87,13.51
Hotel Sol,2023-05-01,0.64,127.72,100,1910,243951.33,80402.33,324353.66,190515.2,133838.46,2439.51,-0.38,36.81,-27.18
Hotel Sol,2023-06-01,0.78,85.34,100,2326,198510.9,57100.35,255611.25,155899.49,99711.76,1985.11,-18.63,-33.18,21.73
Hotel Sol,2023-07-01,0.71,156.37,100,2115,330721.19,85955.14,416676.33,272618.96,144057.37,3307.21,66.6,83.22,-9.04
Hotel Sol,2023-08-01,0.77,75.11,100,2299,172676.84,66008.05,238684.89,131552.91,107131.99,1726.77,-47.79,-51.97,8.7
Hotel Sol,2023-09-01,0.53,174.38,100,1587,276736.95,135515.21,412252.16,306105.14,106147.01,2767.37,60.26,132.16,-30.96
Hotel Sol,2023-10-01,0.64,80.74,100,1911,154301.66,62533.82,216835.47,137049.94,79785.53,1543.02,-44.24,-53.7,20.37
Hotel Sol,2023-11-01,0.55,124.47,100,1664,207117.18,43560.17,250677.35,193722.49,56954.87,2071.17,34.23,54.15,-12.9
Hotel Sol,2023-12-01,0.62,142.88,100,1849,264180.41,77540.47,341720.88,224175.87,117545.01,2641.8,27.55,14.79,11.09
Hotel Sol,2024-01-01,0.75,90.33,100,2238,202167.47,99239.04,301406.51,220792.28,80614.23,2021.67,-23.47,-36.78,21.02
Hotel Sol,2024-02-01,0.92,168.43,100,2768,466217.03,176868.75,643085.78,499396.16,143689.63,4662.17,130.61,86.45,23.69
Hotel Sol,2024-03-01,0.54,91.56,100,1619,148232.59,31657.77,179890.35,107502.31,72388.04,1482.33,-68.21,-45.64,-41.5
Hotel Sol,2024-04-01,0.67,99.85,100,2024,202093.15,90663.28,292756.43,177710.76,115045.67,2020.93,36.34,9.05,25.02
Hotel Sol,2024-05-01,0.63,129.7,100,1879,243699.85,59042.93,302742.79,224229.2,78513.59,2437.0,20.59,29.89,-7.18
Hotel Sol,2024-06-01,0.53,178.56,100,1600,285692.1,123325.69,409017.79,228892.37,180125.42,2856.92,17.23,37.67,-14.83
Hotel Sol,2024-07-01,0.5,159.7,100,1507,240669.04,99169.41,339838.45,244242.63,95595.83,2406.69,-15.76,-10.56,-5.82
Hotel Sol,2024-08-01,0.85,78.14,100,2541,198566.22,61067.0,259633.22,138841.65,120791.57,1985.66,-17.49,-51.07,68.58
Hotel Sol,2024-09-01,0.89,138.56,100,2665,369269.85,110511.17,479781.01,249038.73,230742.28,3692.7,85.97,77.32,4.88
Hotel Sol,2024-10-01,0.64,105.77,100,1919,202972.95,85021.68,287994.63,199081.25,88913.38,2029.73,-45.03,-23.67,-27.97
Hotel Sol,2024-11-01,0.9,121.94,100,2697,328882.0,77576.12,406458.12,290200.3,116257.82,3288.82,62.03,15.29,40.52
Hotel Sol,2024-12-01,0.84,131.74,100,2527,332908.22,143580.04,476488.26,308830.47,167657.79,3329.08,1.22,8.03,-6.33
