HOTEL,ANIO,MES,ESCENARIO,RN,HABITACIONES,ROOMS_REV_ALOJAMIENTO,ROOMS_REV_UPGRADES,ROOMS_REV_OTROS,ROOMS_REVENUE,FOOD_REVENUE,BEVERAGE_REVENUE,BANQUETS_REVENUE,FB_PENSION,DAY_PASS,FB_REVENUE,OTHER_DEPT_REVENUE,MISC_INCOME,OPERATING_REVENUE,AR,ROOMS_PERSONNEL,ROOMS_OTHER_EXPENSES,ROOMS_OPEX,FOOD_COST,BEVERAGE_COST,FB_COST,FB_PERSONNEL,FB_OTHER_EXPENSES,FB_OPEX,OPERATING_EXPENSES,ROOMS_PROFIT,FB_PROFIT,TOTAL_DEPT_PROFIT,UNDISTRIB_OPEX,GOP
Hotel Alhambra,2025,8,REAL,16318,23518,2813662.63,85894.81,6975.32,2906532.77,53337.04,713.63,-243.79,1482899.81,13537.19,1550243.89,124721.08,13787.46,4595285.19,281.61,-331311.66,-382897.44,-714209.10,-541036.50,-197373.41,-738409.91,-525835.86,-73169.27,-1337415.05,-2051624.15,2192323.67,212828.84,2543661.04,-1844784.70,698876.34
Hotel Alhambra,2025,9,BUDGET,14516,20405,2770884.87,105561.41,1435.62,2877881.91,19184.16,4606.25,0.00,1207245.13,11560.00,1242595.53,145568.34,10285.14,4276330.92,294.59,-223216.32,-364115.42,-587331.74,-498272.91,-190735.20,-689008.11,-439498.15,-72561.24,-1201067.50,-1788399.24,2290550.17,41528.03,2487931.69,-1448832.87,1039098.82
Hotel Alhambra,2025,9,REAL,15493,20993,3078694.05,73651.64,1886.47,3154232.17,-4053.10,719.54,1085.34,1288444.24,12617.83,1298813.86,84794.42,12859.96,4550700.40,293.74,-247901.83,-267542.79,-515444.62,-525173.10,-184625.41,-709798.51,-451048.47,-66472.65,-1227319.63,-1742764.24,2638787.55,71494.23,2807936.16,-1511927.18,1296008.97
Hotel Alhambra,2025,10,BUDGET,12721,18247,2341359.39,85580.89,945.89,2427886.17,20469.65,8228.05,0.00,1068065.52,14403.51,1111166.73,128452.40,8900.60,3676405.90,289.01,-186880.30,-326175.00,-513055.30,-439729.64,-169149.38,-608879.02,-366379.43,-62090.62,-1037349.06,-1550404.36,1914830.87,73817.67,2126001.54,-1257876.83,868124.70
Hotel Alhambra,2025,10,REAL,13788,19463,2950015.10,63645.70,751.67,3014412.47,50394.02,1576.04,-885.86,1157623.24,18360.97,1227068.41,157498.76,10729.49,4409709.13,319.83,-227936.28,-365332.09,-593268.37,-430908.39,-165268.17,-596176.56,-401208.21,-70910.20,-1068294.97,-1661563.34,2421144.09,158773.44,2748145.79,-1474378.43,1273767.36
Hotel Alhambra,2025,11,BUDGET,13091,19031,2397682.51,83552.56,987.41,2482222.48,17889.56,7433.68,0.00,1129266.59,10512.81,1165102.63,124461.91,9592.87,3781379.89,288.86,-201858.22,-336402.56,-538260.78,-439176.77,-169294.78,-608471.55,-395549.58,-76908.55,-1080929.68,-1619190.47,1943961.70,84172.95,2162189.43,-1367345.14,794844.29
Hotel Alhambra,2025,11,REAL,14155,19816,2830104.84,75231.24,888.93,2906225.02,113935.67,951.69,-203.55,1221098.12,22571.52,1358353.45,174921.67,11381.45,4450881.58,314.44,-257439.16,-479371.47,-736810.63,-455387.34,-181099.46,-636486.80,-426792.30,-71645.35,-1134924.45,-1871735.08,2169414.38,223429.01,2579146.50,-1800941.14,778205.36
Hotel Alhambra,2025,12,BUDGET,19470,25545,5039092.79,148215.03,1884.39,5189192.22,26013.97,6572.60,0.00,1588179.61,48590.54,1669356.72,92070.44,12460.84,6963080.22,357.64,-270848.89,-608083.63,-878932.52,-754676.51,-285320.24,-1039996.75,-545729.66,-146458.16,-1732184.58,-2611117.09,4310259.70,-62827.86,4351963.12,-2122268.79,2229694.33
Hotel Alhambra,2025,12,REAL,18934,24329,5324113.39,168917.96,695.70,5493727.05,-84849.46,2808.42,1411.79,1544447.22,80556.26,1544374.24,148016.99,14143.56,7200261.84,380.29,-284007.38,390728.68,106721.29,-724531.68,-298885.54,-1023417.22,-505474.08,-196872.48,-1725763.78,-1619042.48,5600448.35,-181389.54,5581219.36,-2261498.02,3319721.34
Hotel Alhambra,2026,1,BUDGET,19597,21896,6143674.37,121640.04,7813.07,6273127.47,36444.84,3376.96,0.00,1890838.76,35234.42,1965894.98,82808.69,11900.12,8333731.26,425.26,-265654.06,-600229.11,-865883.17,-736724.07,-274202.98,-1010927.05,-482244.51,-101488.28,-1594659.84,-2460543.00,5407244.31,371235.15,5873188.26,-1872737.13,4000451.13
Hotel Alhambra,2026,1,REAL,21631,24532,6994363.56,129785.25,2524.10,7126672.91,102210.38,1761.38,220.63,2110602.90,56000.60,2270795.90,121282.66,15140.96,9533892.43,440.75,-332320.22,-792528.52,-1124848.74,-779921.51,-283646.18,-1063567.69,-684015.57,-99871.40,-1847454.66,-2972303.40,6001824.17,423341.24,6561589.03,-2090088.10,4471500.93
Hotel Alhambra,2026,2,BUDGET,12028,14283,3051250.02,70155.46,6543.22,3127948.70,17652.04,4419.74,0.00,1266318.55,10073.46,1298463.79,43164.12,8594.53,4478171.13,372.30,-187311.34,-360341.41,-547652.74,-423710.92,-155831.30,-579542.23,-338406.93,-65490.57,-983439.73,-1531092.47,2580295.95,315024.06,2947078.66,-1241259.52,1705819.14
Hotel Alhambra,2026,2,REAL,18551,20876,5146885.63,102964.50,607.48,5250457.62,33082.96,769.90,-642.53,1744843.39,27627.99,1805681.72,99964.83,14156.44,7170260.61,386.51,-316822.30,-693787.12,-1010609.42,-653411.61,-211655.01,-865066.62,-506496.09,-63221.12,-1434783.83,-2445393.25,4239848.20,370897.88,4724867.36,-1856094.08,2868773.28
Hotel Alhambra,2026,3,BUDGET,13027,15611,2414136.18,43474.07,8226.67,2465836.91,15672.41,3295.94,0.00,1201529.43,16643.65,1237141.43,96372.53,8484.34,3807835.21,292.31,-181963.60,-303956.37,-485919.97,-402199.01,-147211.46,-549410.48,-329043.38,-58922.25,-937376.11,-1423296.08,1979916.94,299765.32,2384539.13,-1226278.47,1158260.66
Hotel Alhambra,2026,3,REAL,23185,26153,4822401.13,88792.26,947.60,4912140.99,42335.83,2963.44,2341.57,2058725.91,20391.96,2126758.71,244151.81,15015.43,7298066.94,314.77,-310006.18,-670562.34,-980568.53,-790590.66,-253165.48,-1043756.14,-553755.02,-109828.77,-1707339.94,-2687908.46,3931572.46,419418.77,4610158.48,-2264129.63,2346028.84
Hotel Alhambra,2026,4,BUDGET,13280,16677,2620410.67,40481.02,7521.63,2668413.32,17227.38,1423.06,0.00,1275731.54,17883.02,1312265.01,81711.84,9365.83,4071756.00,306.60,-211909.30,-318292.25,-530201.55,-413693.07,-152257.07,-565950.13,-372194.29,-63572.18,-1001716.61,-1531918.15,2138211.77,310548.41,2539837.85,-1312563.37,1227274.48
Hotel Alhambra,2026,4,REAL,0,0,2376625.86,66073.78,1652.47,2444352.10,20687.67,600.90,947.72,810492.78,11267.75,843996.83,107894.00,469.15,3396712.07,,-15573.51,-122591.50,-138165.01,-347936.22,-131699.01,-479635.23,-27321.44,-38956.02,-545912.69,-684077.70,2306187.09,298084.14,2712634.37,-426020.75,2286613.62
Hotel Alhambra,2026,5,BUDGET,14236,21693,2454385.96,73273.94,6886.84,2534546.74,20066.06,1834.39,0.00,1211813.02,11855.85,1245569.33,70337.77,11789.93,3862243.76,271.29,-258222.67,-323230.83,-581453.49,-457505.95,-168664.19,-626170.14,-445911.58,-78150.45,-1150232.17,-1731685.66,1953093.25,95337.16,2130558.11,-1550593.37,579964.73
Hotel Alhambra,2026,5,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hotel Alhambra,2026,6,BUDGET,12051,18443,2255225.99,83582.88,3904.36,2342713.24,12769.20,2696.44,0.00,819909.46,7692.64,843067.73,42044.05,10357.51,3238182.53,268.71,-225630.30,-271639.02,-497269.32,-411028.20,-152152.78,-563180.98,-385184.33,-64891.69,-1013256.99,-1510526.31,1845443.91,-170189.26,1727656.22,-1338487.46,389168.75
Hotel Alhambra,2026,6,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hotel Alhambra,2026,7,BUDGET,20170,25951,4565213.58,159854.45,16696.95,4741764.99,31012.58,11096.58,0.00,2314172.77,17287.15,2373569.08,87547.37,14103.84,7216985.28,357.80,-311835.18,-559045.51,-870880.69,-743545.74,-271140.18,-1014685.92,-547850.86,-109553.43,-1672090.21,-2542970.90,3870884.29,701478.87,4674014.38,-2034190.84,2639823.55
Hotel Alhambra,2026,7,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hotel Alhambra,2026,8,BUDGET,14752,19869,2587436.71,90486.51,8733.39,2686656.60,20807.97,6696.54,0.00,1407637.31,12818.00,1447959.82,117488.91,10798.26,4262903.60,288.97,-242860.92,-339645.17,-582506.09,-479572.81,-177761.72,-657334.53,-428214.32,-72349.68,-1157898.53,-1740404.62,2104150.51,290061.29,2522498.97,-1479585.31,1042913.66
Hotel Alhambra,2026,8,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hotel Alhambra,2026,9,BUDGET,12553,16285,2555517.15,76184.73,7515.03,2639216.91,14477.75,4635.59,0.00,1095951.13,12764.51,1127828.97,92500.92,9145.46,3868692.27,308.19,-202289.68,-301002.62,-503292.31,-428718.18,-160066.01,-588784.20,-355818.79,-60152.54,-1004755.52,-1508047.83,2135924.61,123073.45,2360644.44,-1261527.44,1099117.00
Hotel Alhambra,2026,9,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hotel Alhambra,2026,10,BUDGET,13085,17638,2755535.82,70529.94,7100.71,2833166.47,21891.95,6776.94,0.00,1130279.75,15956.10,1174904.74,101532.85,9586.21,4119190.26,314.81,-211537.73,-316825.35,-528363.09,-461194.55,-176921.20,-638115.75,-372006.42,-68951.12,-1079073.29,-1607436.38,2304803.38,95831.45,2511753.88,-1341535.70,1170218.18
Hotel Alhambra,2026,10,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hotel Alhambra,2026,11,BUDGET,14719,20012,2986300.41,90286.88,8956.21,3085543.51,27625.54,8838.22,0.00,1294847.61,17968.85,1349280.23,92595.69,11239.00,4538658.42,308.36,-248009.76,-356425.86,-604435.61,-532272.94,-192337.53,-724610.47,-436145.46,-81339.21,-1242095.14,-1846530.76,2481107.89,107185.08,2692127.67,-1527256.12,1164871.55
Hotel Alhambra,2026,11,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hotel Alhambra,2026,12,BUDGET,16982,22099,4956247.54,92064.63,9420.38,5057732.56,39347.94,10287.40,0.00,1456405.02,33944.73,1539985.08,64182.80,12010.30,6673910.74,392.99,-266223.98,-491518.70,-757742.67,-709495.70,-227331.18,-936826.88,-482916.05,-133028.03,-1552770.96,-2310513.64,4299989.88,-12785.88,4363397.11,-1973981.05,2389416.06
Hotel Alhambra,2026,12,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hotel Aurora,2025,1,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-5160.87,-5160.87,0.00,0.00,0.00,-6656.27,-6850.69,-13506.96,-18667.83,-5160.87,-13506.96,-18667.83,-109823.69,-128491.52
Hotel Aurora,2025,1,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349.52,349.52,,0.00,-6008.01,-6008.01,-101.30,-180.42,-281.72,-6449.70,-6735.40,-13466.82,-19474.83,-6008.01,-13466.82,-19125.31,-77653.91,-96779.22
Hotel Aurora,2025,2,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,120.52,-4795.96,-4675.44,0.00,0.00,0.00,-6185.62,-6366.30,-12551.92,-17227.36,-4675.44,-12551.92,-17227.36,-125725.71,-142953.07
Hotel Aurora,2025,2,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-7264.26,-7264.26,3292.74,0.00,3292.74,-8444.46,-8484.21,-13635.93,-20900.19,-7264.26,-13635.93,-20900.19,-163273.75,-184173.94
Hotel Aurora,2025,3,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-8688.08,-7603.51,-16291.59,0.00,0.00,0.00,-16056.98,-10067.13,-26124.11,-42415.70,-16291.59,-26124.11,-42415.70,-206816.31,-249232.02
Hotel Aurora,2025,3,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.17,0.00,99.17,,-7765.52,-940.37,-8705.89,0.00,1059.38,1059.38,-9283.46,-5361.32,-13585.41,-22291.30,-8705.89,-13585.41,-22192.13,-101219.77,-123411.89
Hotel Aurora,2025,4,BUDGET,694,1733,176211.21,948.90,0.00,177160.11,34930.13,21715.86,2563.57,18030.39,0.00,77239.95,12923.29,0.00,267323.35,385.35,-95724.01,-38714.80,-134438.81,-20859.47,-10202.70,-31062.16,-80807.02,-24664.82,-136534.01,-270972.82,42721.30,-59294.05,-3649.46,-216347.55,-219997.01
Hotel Aurora,2025,4,REAL,1609,2452,416944.21,4667.41,0.00,421611.62,49167.86,40468.20,0.00,55238.81,0.00,144874.87,22227.61,2988.30,591702.39,367.76,-141661.20,-81326.57,-222987.76,-35436.07,-24237.49,-59673.57,-100434.02,-14643.21,-174750.80,-397738.56,198623.85,-29875.93,193963.83,-289088.92,-95125.09
Hotel Aurora,2025,5,BUDGET,4710,6038,1634280.89,33448.31,0.00,1667729.20,254077.95,187556.82,45666.21,131890.36,0.00,619191.35,103562.97,3483.39,2393966.91,508.30,-283436.48,-255444.18,-538880.67,-100001.92,-58435.40,-158437.31,-387304.20,-21154.75,-566896.26,-1105776.93,1128848.53,52295.09,1288189.98,-430195.03,857994.96
Hotel Aurora,2025,5,REAL,3218,4213,1011767.89,9995.09,0.00,1021762.97,90332.69,104843.78,105683.06,98160.92,0.00,399020.45,55741.63,3261.60,1479786.64,459.92,-187151.55,-147383.43,-334534.99,-66145.74,-31430.67,-97576.42,-245447.87,-9291.30,-352315.59,-686850.58,687227.99,46704.85,792936.06,-307515.18,485420.89
Hotel Aurora,2025,6,BUDGET,3045,3760,1630759.51,28625.54,0.00,1659385.05,191205.39,157335.73,28733.43,89818.04,0.00,467092.58,70138.13,0.00,2196615.76,721.32,-213237.60,-258923.31,-472160.91,-70861.73,-43949.17,-114810.90,-265914.39,-13577.33,-394302.61,-866463.53,1187224.13,72789.97,1330152.23,-295724.24,1034427.99
Hotel Aurora,2025,6,REAL,3217,3805,1393978.76,17075.71,0.00,1411054.47,127701.40,134795.21,37517.47,96440.19,0.00,396454.27,62328.59,188.16,1870025.49,581.26,-214720.14,-239217.58,-453937.71,-69630.99,-34541.50,-104172.49,-249865.36,-14637.39,-368675.24,-822612.95,957116.76,27779.04,1047412.54,-306372.94,741039.60
Hotel Aurora,2025,7,BUDGET,4778,5524,3130668.49,33831.00,0.00,3164499.48,370809.75,297139.40,32279.07,142138.21,0.00,842366.44,103263.13,1163.01,4111292.06,860.50,-320440.97,-454538.59,-774979.56,-126127.93,-83100.25,-209228.18,-391154.71,-18757.48,-619140.37,-1394119.93,2389519.92,223226.06,2717172.12,-449983.07,2267189.05
Hotel Aurora,2025,7,REAL,3072,3604,1731993.93,16163.61,0.00,1748157.54,170546.50,137327.86,9499.00,92107.51,0.00,409480.87,58496.78,1297.08,2217432.27,721.93,-216109.29,-280038.82,-496148.11,-73184.40,-31574.36,-104758.76,-245725.50,-19635.64,-370119.90,-866268.01,1252009.44,39360.97,1351164.26,-292626.54,1058537.72
Hotel Aurora,2025,8,BUDGET,3828,4400,2504158.69,36075.25,0.00,2540233.94,278541.37,223450.30,0.00,117802.11,0.00,619793.78,85977.28,0.00,3246005.00,848.03,-256488.54,-360823.70,-617312.23,-93987.29,-60228.79,-154216.08,-311597.82,-14449.53,-480263.43,-1097575.66,1922921.71,139530.35,2148429.34,-359887.13,1788542.20
Hotel Aurora,2025,8,REAL,3272,3792,1825138.36,11429.42,0.00,1836567.77,178221.68,146192.93,3055.91,109072.79,0.00,436543.32,70128.43,4152.38,2347391.91,717.33,-231881.95,-257101.71,-488983.66,-73937.91,-33927.51,-107865.42,-266778.22,-12922.71,-387566.35,-876550.01,1347584.11,48976.97,1470841.89,-298637.13,1172204.77
Hotel Aurora,2025,9,BUDGET,2790,3488,1313634.51,25190.34,0.00,1338824.84,180645.82,136440.66,20060.44,81605.49,0.00,418752.41,70761.85,6389.08,1834728.19,657.50,-185947.20,-201243.31,-387190.51,-68076.22,-38415.62,-106491.84,-233310.49,-8971.54,-348773.87,-735964.39,951634.33,69978.54,1098763.80,-294352.27,804411.53
Hotel Aurora,2025,9,REAL,2578,3398,1047124.55,9167.99,0.00,1056292.53,98293.76,88730.92,42799.08,75577.52,0.00,305401.27,54938.00,168.00,1416799.80,549.63,-181304.30,-181546.65,-362850.95,-53050.26,-22071.32,-75121.58,-206119.44,-9466.03,-290707.04,-653557.99,693441.59,14694.23,763241.81,-225712.34,537529.48
Hotel Aurora,2025,10,BUDGET,1961,3017,579603.20,15435.18,0.00,595038.38,74749.85,51258.42,26026.47,57842.05,0.00,209876.79,57830.09,916.86,863662.12,440.34,-211464.91,-96800.09,-308265.00,-36362.13,-21141.58,-57503.71,-242826.27,-9638.16,-309968.14,-618233.14,286773.38,-100091.35,245428.98,-294992.76,-49563.77
Hotel Aurora,2025,10,REAL,1866,2490,513765.49,7313.48,0.00,521078.97,65582.13,58749.29,8280.27,50071.38,0.00,182683.07,35450.86,133.18,739346.08,396.16,-135335.72,-111432.72,-246768.44,-39354.06,-16958.75,-56312.82,-152924.94,-17898.14,-227135.90,-473904.33,274310.53,-44452.83,265441.74,-224360.62,41081.12
Hotel Aurora,2025,11,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-3473.94,-4639.57,-8113.51,0.00,0.00,0.00,-5879.54,-7493.70,-13373.24,-21486.75,-8113.51,-13373.24,-21486.75,-105642.39,-127129.15
Hotel Aurora,2025,11,REAL,0,0,-1706.22,0.00,0.00,-1706.22,0.00,0.00,0.00,0.00,0.00,0.00,774.64,5137.90,4206.32,,-2491.26,-29084.02,-31575.28,3782.99,-101.82,3681.17,-12802.39,-9803.88,-18925.10,-50500.38,-33281.50,-18925.10,-46294.06,-160587.17,-206881.23
Hotel Aurora,2025,12,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-5838.56,-5838.56,0.00,0.00,0.00,-7545.70,-7750.28,-15295.97,-21134.53,-5838.56,-15295.97,-21134.53,-120295.85,-141430.38
Hotel Aurora,2025,12,REAL,0,0,3135.52,0.00,0.00,3135.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46012.45,49147.97,,3394.80,-16463.06,-13068.26,-247.08,-1969.10,-2216.18,-8522.22,-10670.89,-21409.30,-34477.56,-9932.75,-21409.30,14670.41,-91913.28,-77242.87
Hotel Aurora,2026,1,BUDGET,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-4230.38,-4230.38,0.00,0.00,0.00,-8103.53,-6442.59,-14546.12,-18776.51,-4230.38,-14546.12,-18776.51,-102537.72,-121314.22
Hotel Aurora,2026,1,REAL,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,-6009.90,-6009.90,621.14,0.00,621.14,-6279.32,-8136.44,-13794.62,-19804.52,-6009.90,-13794.62,-19804.52,-100489.65,-120294.17
